Severity,Safety_Score,Days_Since_Inspection,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,addition
Significant_Damage_And_Serious_Injuries,33.05936073,15,72.33363719,0.442330328,83.6,1,40822.78545,17
Highly_Fatal_And_Damaging,52.60273973,13,47.53874202,0.487768482,84.13,6,31631.23083,3
Significant_Damage_And_Fatalities,29.6347032,13,48.90610757,0.511569419,77.68,4,23561.29284,9
Significant_Damage_And_Serious_Injuries,41.73515982,13,71.87784868,0.380303642,76.2,6,17443.65487,13
Highly_Fatal_And_Damaging,40.3652968,9,56.79124886,0.364436351,76.95,3,21268.83955,4
Significant_Damage_And_Serious_Injuries,30.456621,16,76.52689152,0.239661738,78.84,6,37178.37697,2
Minor_Damage_And_Injuries,40.77625571,13,45.44211486,0.598118283,76.37,2,22443.89357,1
Significant_Damage_And_Serious_Injuries,37.16894977,14,62.7620784,0.329095564,79.63,1,10730.43013,4
Significant_Damage_And_Serious_Injuries,38.81278539,13,64.03828624,0.467213127,82.06,6,30858.54314,22
Minor_Damage_And_Injuries,45.20547945,11,56.5633546,0.459640101,81.06,6,17474.54856,36
Significant_Damage_And_Serious_Injuries,24.56621005,18,59.61713765,0.273560043,78.16,4,31278.38645,8
Significant_Damage_And_Serious_Injuries,43.33333333,12,77.52962625,0.185568698,79.76,5,14519.24189,5
Significant_Damage_And_Serious_Injuries,56.62100457,8,85.68824066,0.151670393,78.6,6,32932.72392,8
Highly_Fatal_And_Damaging,42.64840183,9,58.70556062,0.256610891,81.16,1,31380.14392,1
Minor_Damage_And_Injuries,49.08675799,14,68.09480401,0.294115398,79.63,1,26992.78692,5
Highly_Fatal_And_Damaging,33.51598174,11,61.48587056,0.444133429,75.21,4,25794.58087,5
Highly_Fatal_And_Damaging,25.29680365,14,83.81950775,0.301327804,81.94,4,25111.1749,5
Significant_Damage_And_Serious_Injuries,37.39726027,14,79.76298997,0.360830148,78.39,6,49758.64154,3
Highly_Fatal_And_Damaging,13.69863014,17,62.67092069,0.258413992,79.85,2,37474.07417,6
Minor_Damage_And_Injuries,53.92694064,12,49.31631723,0.421053732,86.42,1,37120.17167,17
Significant_Damage_And_Serious_Injuries,48.63013699,11,79.76298997,0.25516841,82.66,3,34032.096,4
Significant_Damage_And_Serious_Injuries,52.46575342,9,58.93345488,0.425381176,78.75,3,29213.84098,0
Significant_Damage_And_Serious_Injuries,48.44748858,10,64.49407475,0.368763794,88.27,6,35818.65322,29
Significant_Damage_And_Fatalities,38.31050228,11,49.54421149,0.515536242,79.89,4,47541.00507,4
Significant_Damage_And_Fatalities,58.99543379,14,73.01731996,0.320801298,82.49,7,52189.53654,7
Highly_Fatal_And_Damaging,45.38812785,15,52.50683683,0.520945546,77.33,2,47423.38606,4
Highly_Fatal_And_Damaging,30.63926941,12,74.24794895,0.232809953,76.02,1,32791.84219,9
Highly_Fatal_And_Damaging,13.78995434,17,62.67092069,0.300967184,79.84,3,41118.82065,3
Significant_Damage_And_Serious_Injuries,39.49771689,13,78.03099362,0.381024883,78.28,3,39523.6658,8
Significant_Damage_And_Serious_Injuries,39.17808219,13,70.87511395,0.423938695,78.59,3,33528.51335,10
Minor_Damage_And_Injuries,56.84931507,11,76.98268004,0.294476019,87.05,2,30950.39131,21
Minor_Damage_And_Injuries,58.44748858,11,64.81312671,0.329095564,83.45,2,36844.46116,8
Highly_Fatal_And_Damaging,19.7716895,15,57.65724704,0.428626758,78.13,1,18584.99066,9
Significant_Damage_And_Serious_Injuries,51.68949772,10,72.56153145,0.387155427,78.56,3,45213.50767,2
Highly_Fatal_And_Damaging,27.80821918,13,65.13217867,0.390040389,78.66,7,26744.8668,7
Highly_Fatal_And_Damaging,23.42465753,15,71.19416591,0.351454021,79.58,4,42336.48102,12
Significant_Damage_And_Serious_Injuries,62.51141553,13,49.04284412,0.543664623,78.46,7,15180.03179,1
Significant_Damage_And_Serious_Injuries,54.24657534,5,73.29079307,0.244349802,77.95,3,34497.64398,5
Minor_Damage_And_Injuries,33.10502283,18,68.77848678,0.265265777,78.17,1,35553.18579,7
Significant_Damage_And_Fatalities,26.25570776,14,55.74293528,0.303852146,79.25,4,41817.9806,5
Highly_Fatal_And_Damaging,30.77625571,20,56.83682771,0.303491525,84.76,6,50122.01975,5
Significant_Damage_And_Fatalities,48.63013699,17,69.64448496,0.303130905,76.94,7,33771.9963,3
Highly_Fatal_And_Damaging,30.3196347,12,68.64175023,0.413480707,81.48,4,46371.52752,2
Significant_Damage_And_Fatalities,23.10502283,14,37.51139471,0.577923549,79.74,1,38783.35661,25
Significant_Damage_And_Serious_Injuries,29.08675799,16,81.17593437,0.237137396,77.38,6,29575.35166,5
Significant_Damage_And_Fatalities,59.543379,14,70.55606199,0.239661738,78.7,7,27171.77467,16
Significant_Damage_And_Fatalities,27.85388128,13,53.60072926,0.47226181,78.49,4,24068.42586,7
Highly_Fatal_And_Damaging,20.95890411,15,79.39835916,0.267429499,77.1,4,20146.91725,12
Highly_Fatal_And_Damaging,58.31050228,11,54.92251595,0.405186441,76.09,2,32793.25715,5
Significant_Damage_And_Serious_Injuries,45.75342466,11,59.02461258,0.311425171,85.61,6,25813.38054,20
Minor_Damage_And_Injuries,46.57534247,14,64.6308113,0.316473855,79.72,2,30063.66224,2
Minor_Damage_And_Injuries,45.29680365,15,76.75478578,0.21550018,78.31,2,22004.47041,5
Significant_Damage_And_Fatalities,40.54794521,20,50.36463081,0.354699603,77.62,2,45105.84144,16
Minor_Damage_And_Injuries,57.57990868,11,61.39471285,0.548352687,80.98,2,20134.14523,6
Highly_Fatal_And_Damaging,32.14611872,12,73.51868733,0.40410458,76.02,1,37060.22364,8
Significant_Damage_And_Serious_Injuries,31.59817352,15,61.57702826,0.349290299,83.19,1,23728.35171,4
Significant_Damage_And_Fatalities,20.2283105,15,56.15314494,0.523469888,77.04,4,36683.45992,2
Significant_Damage_And_Fatalities,26.21004566,14,56.15314494,0.784558961,82.75,1,48583.54863,6
Significant_Damage_And_Serious_Injuries,51.00456621,10,57.56608933,0.388237288,78.93,6,37429.15324,20
Significant_Damage_And_Serious_Injuries,43.51598174,12,62.03281677,0.451345835,87.34,3,37571.9051,5
Significant_Damage_And_Fatalities,35.25114155,11,51.36736554,0.398695276,80.44,7,35285.26904,8
Highly_Fatal_And_Damaging,33.74429224,11,64.4484959,0.514093761,77.34,4,3971.094226,3
Minor_Damage_And_Injuries,31.82648402,19,76.07110301,0.386434187,81.57,4,36989.08023,2
Significant_Damage_And_Serious_Injuries,42.87671233,12,68.96080219,0.254447169,77.23,4,13938.95103,17
Significant_Damage_And_Serious_Injuries,31.50684932,15,61.57702826,0.493899026,80.47,6,42708.85447,7
Highly_Fatal_And_Damaging,35.98173516,11,85.96171376,0.198911648,78.48,3,22102.03854,9
Minor_Damage_And_Injuries,30.1369863,16,53.2816773,0.250119726,82.18,1,17318.54848,5
Highly_Fatal_And_Damaging,54.52054795,5,80.03646308,0.183044356,80.05,3,40028.32614,3
Minor_Damage_And_Injuries,54.88584475,12,61.2579763,0.437281644,78.36,4,28287.9926,5
Minor_Damage_And_Injuries,57.57990868,11,76.89152233,0.428266138,87.23,2,35859.4448,3
Highly_Fatal_And_Damaging,27.30593607,13,84.86782133,0.263823296,80.27,2,29399.90628,15
Minor_Damage_And_Injuries,58.26484018,11,68.91522334,0.284739272,81.92,3,38968.23652,10
Significant_Damage_And_Fatalities,83.65296804,7,89.51686418,0.275363145,80.07,6,30107.34664,5
Highly_Fatal_And_Damaging,34.79452055,11,61.66818596,0.448460873,78.22,4,44997.47382,20
Highly_Fatal_And_Damaging,29.7260274,12,75.75205105,0.196026686,77.49,4,28715.70804,18
Highly_Fatal_And_Damaging,32.37442922,12,66.59070191,0.586939055,79.61,4,25615.58223,13
Minor_Damage_And_Injuries,15.20547945,20,50.59252507,0.408071403,80.6,1,23086.07039,14
Significant_Damage_And_Fatalities,69.36073059,11,88.46855059,0.250480346,79.36,6,44244.90346,32
Significant_Damage_And_Fatalities,17.71689498,16,54.9680948,0.47154057,76.78,4,36683.45992,2
Significant_Damage_And_Fatalities,30.3196347,12,52.23336372,0.422496213,77.99,2,9666.940558,3
Minor_Damage_And_Injuries,56.02739726,12,62.8532361,0.312507032,77.36,5,44899.07051,15
Minor_Damage_And_Injuries,41.73515982,16,66.49954421,0.465770646,76.2,2,32060.63407,8
Minor_Damage_And_Injuries,56.84931507,12,73.19963537,0.352175261,80.79,2,29887.80597,2
Significant_Damage_And_Serious_Injuries,16.66666667,19,65.99817685,0.49930833,76.53,1,11268.29351,18
Significant_Damage_And_Serious_Injuries,27.39726027,17,72.19690064,0.340274793,77.36,2,30684.67256,2
Significant_Damage_And_Serious_Injuries,47.89954338,18,53.78304467,0.472622431,78.87,6,24170.08953,14
Minor_Damage_And_Injuries,42.69406393,12,45.67000912,0.414923188,81.84,3,29832.35471,13
Minor_Damage_And_Injuries,65.98173516,9,64.99544211,0.339553552,77.98,1,33179.916,5
Highly_Fatal_And_Damaging,34.65753425,11,84.18413856,0.198911648,78.52,7,53915.33299,5
Significant_Damage_And_Fatalities,59.8173516,14,74.56700091,0.303852146,76.33,7,13696.99706,2
Highly_Fatal_And_Damaging,22.60273973,15,57.976299,0.527797331,82.39,4,36653.79366,15
Highly_Fatal_And_Damaging,21.27853881,15,72.83500456,0.329456185,82.93,4,43034.57271,9
Significant_Damage_And_Serious_Injuries,69.8630137,11,57.15587967,0.441609088,76.83,7,42842.03827,5
Highly_Fatal_And_Damaging,48.67579909,7,67.6390155,0.251922827,78.77,4,30423.72497,6
Highly_Fatal_And_Damaging,18.72146119,16,74.24794895,0.238940498,79.16,1,15576.82814,4
Minor_Damage_And_Injuries,52.37442922,9,41.20328168,0.623001082,79.53,3,34001.72617,6
Highly_Fatal_And_Damaging,32.73972603,12,63.67365542,0.432593581,77.34,4,27897.8067,9
Minor_Damage_And_Injuries,57.03196347,12,65.22333637,0.277887486,78.48,2,34310.10426,10
Minor_Damage_And_Injuries,54.42922374,12,68.77848678,0.198911648,76.58,5,32800.83687,8
Significant_Damage_And_Fatalities,58.76712329,14,73.01731996,0.34965092,79.29,7,37867.50434,12
Significant_Damage_And_Serious_Injuries,33.15068493,15,76.80036463,0.369485034,80.64,4,37935.80165,1
Minor_Damage_And_Injuries,34.65753425,15,54.28441203,0.592348359,82.71,3,34985.72171,11
Highly_Fatal_And_Damaging,28.94977169,13,69.59890611,0.334865489,83.29,4,36539.89933,7
Significant_Damage_And_Serious_Injuries,47.35159817,11,77.07383774,0.321161918,77.86,7,32624.49113,4
Minor_Damage_And_Injuries,59.04109589,11,68.14038286,0.253365308,80.79,2,26755.00794,7
Significant_Damage_And_Serious_Injuries,65.43378995,12,49.40747493,0.421053732,81.45,4,35275.17365,10
Highly_Fatal_And_Damaging,48.63013699,7,65.22333637,0.334865489,81.31,4,36384.88629,23
Highly_Fatal_And_Damaging,55.66210046,5,21.14858706,0.818096646,82.86,6,42536.96106,15
Significant_Damage_And_Fatalities,67.44292237,12,74.79489517,0.233531194,85.61,7,25956.9935,6
Minor_Damage_And_Injuries,54.38356164,12,73.47310848,0.288706094,75.69,4,37388.68971,8
Significant_Damage_And_Fatalities,72.00913242,11,62.9443938,0.321883159,85.71,7,43296.07115,6
Significant_Damage_And_Serious_Injuries,32.46575342,15,74.74931632,0.265626397,78.21,6,40416.90348,5
Highly_Fatal_And_Damaging,29.08675799,13,74.52142206,0.304573386,79.05,4,40754.76562,12
Significant_Damage_And_Serious_Injuries,57.16894977,8,88.87876026,0.213697079,80.16,6,14287.47546,7
Significant_Damage_And_Fatalities,17.30593607,16,51.5952598,0.422496213,78.91,1,22087.48601,7
Minor_Damage_And_Injuries,30.82191781,15,54.64904284,0.371648756,81.39,3,35285.26904,8
Minor_Damage_And_Injuries,62.78538813,6,33.68277119,0.668078615,77.25,3,38281.29237,3
Highly_Fatal_And_Damaging,54.84018265,5,79.85414768,0.206124053,80.05,4,17326.7709,32
Highly_Fatal_And_Damaging,17.16894977,16,75.25068368,0.291230436,76.78,4,31531.7962,15
Significant_Damage_And_Serious_Injuries,51.41552511,9,71.37648131,0.227040029,77.96,3,38369.54216,6
Significant_Damage_And_Serious_Injuries,36.07305936,14,48.90610757,0.252644068,78.11,3,21369.81308,8
Significant_Damage_And_Fatalities,30.1369863,12,52.23336372,0.785640822,81.13,1,37945.78025,3
Minor_Damage_And_Injuries,48.76712329,14,65.49680948,0.329095564,81.75,2,42621.84361,35
Highly_Fatal_And_Damaging,30.63926941,12,67.59343665,0.2692326,82.85,4,56326.35024,2
Significant_Damage_And_Serious_Injuries,41.14155251,12,62.67092069,0.315752614,79.15,1,30269.97101,3
Significant_Damage_And_Serious_Injuries,43.51598174,12,82.04193254,0.254807789,80.96,5,22036.1723,7
Minor_Damage_And_Injuries,46.98630137,11,53.96536007,0.461803823,80.23,2,43203.98251,5
Significant_Damage_And_Fatalities,9.908675799,19,54.01093892,0.466852506,82.15,5,30719.49911,13
Minor_Damage_And_Injuries,51.55251142,13,77.52962625,0.316473855,78.35,5,44315.60535,12
Significant_Damage_And_Fatalities,36.25570776,11,52.05104831,0.280411828,76.35,4,33112.52185,9
Minor_Damage_And_Injuries,47.99086758,11,56.79124886,0.414923188,80.42,3,9560.909439,10
Significant_Damage_And_Fatalities,23.10502283,14,44.71285324,0.675651641,79.06,3,36422.87493,18
Significant_Damage_And_Serious_Injuries,53.83561644,12,50.68368277,0.717844212,78.9,5,40541.72904,2
Significant_Damage_And_Serious_Injuries,63.51598174,13,49.04284412,0.252644068,78.48,7,9966.281392,6
Significant_Damage_And_Fatalities,67.94520548,12,60.66545123,0.416726289,78.56,4,27289.11653,36
Significant_Damage_And_Serious_Injuries,26.62100457,17,73.74658159,0.369845655,78.92,1,39239.23963,2
Significant_Damage_And_Serious_Injuries,29.40639269,16,64.81312671,0.58044789,77.87,3,43209.8141,13
Minor_Damage_And_Injuries,47.12328767,11,55.78851413,0.311785792,80.25,2,24422.94343,19
Minor_Damage_And_Injuries,50.86757991,13,62.62534184,0.52527299,89.82,5,32791.01474,4
Minor_Damage_And_Injuries,76.11872146,6,65.36007293,0.461082582,75.41,4,22083.71535,5
Significant_Damage_And_Fatalities,78.67579909,9,62.26071103,0.427905517,77.09,6,28815.05953,5
Highly_Fatal_And_Damaging,32.10045662,12,81.44940747,0.29555788,77.84,1,41697.17492,16
Significant_Damage_And_Serious_Injuries,34.38356164,15,21.14858706,0.774822214,85.58,3,28384.52631,8
Highly_Fatal_And_Damaging,41.14155251,9,72.01458523,0.35001154,82.44,7,35976.20214,3
Significant_Damage_And_Serious_Injuries,45.43378995,18,54.6946217,0.455312658,84.74,7,36560.59612,1
Minor_Damage_And_Injuries,38.44748858,17,76.89152233,0.428266138,76.69,2,14865.90565,24
Highly_Fatal_And_Damaging,34.47488584,11,65.99817685,0.28257555,76.79,2,30122.31936,11
Significant_Damage_And_Serious_Injuries,32.92237443,15,57.74840474,0.407350162,84.26,3,25131.3222,14
Highly_Fatal_And_Damaging,12.46575342,18,73.33637192,0.316113235,78.6,2,21259.72967,9
Significant_Damage_And_Serious_Injuries,46.21004566,18,42.88969918,0.608215651,82.69,7,24523.02714,6
Minor_Damage_And_Injuries,42.10045662,12,56.74567001,0.72902344,75.83,2,32349.29538,22
Significant_Damage_And_Fatalities,26.25570776,14,55.24156791,0.5130119,81.43,4,47946.31259,28
Highly_Fatal_And_Damaging,46.25570776,8,65.04102097,0.293394158,88.71,4,37917.17971,31
Significant_Damage_And_Fatalities,31.78082192,21,70.55606199,0.324046881,81.13,2,25151.65052,10
Minor_Damage_And_Injuries,52.37442922,13,66.36280766,0.365878832,78.63,5,26261.55154,1
Significant_Damage_And_Fatalities,58.72146119,14,78.12215132,0.302770285,79.99,4,24305.3909,8
Significant_Damage_And_Fatalities,82.23744292,7,80.99361896,0.319358817,80.22,7,26029.21845,11
Significant_Damage_And_Serious_Injuries,36.66666667,14,71.42206016,0.314310133,79.2,6,31335.47682,13
Significant_Damage_And_Fatalities,72.92237443,10,70.9206928,0.276084385,77.86,7,32463.03292,7
Highly_Fatal_And_Damaging,24.74885845,14,87.46581586,0.215860801,83.48,4,21267.70437,9
Highly_Fatal_And_Damaging,48.67579909,7,70.00911577,0.346765957,83.19,6,22288.61637,13
Significant_Damage_And_Serious_Injuries,42.19178082,12,66.45396536,0.329456185,78.69,3,30464.23286,6
Minor_Damage_And_Injuries,49.04109589,14,69.69006381,0.317195096,78.64,2,34529.62574,6
Significant_Damage_And_Fatalities,23.01369863,14,43.80127621,0.453870177,78.69,6,37082.00442,8
Highly_Fatal_And_Damaging,15.43378995,17,67.50227894,0.405547061,79.45,4,47362.34929,2
Highly_Fatal_And_Damaging,36.16438356,11,59.98176846,0.338832312,81.17,4,32342.31338,4
Significant_Damage_And_Serious_Injuries,48.72146119,10,62.16955333,0.55231951,79.42,3,35329.41208,21
Highly_Fatal_And_Damaging,37.12328767,10,70.19143118,0.239661738,81.11,4,23275.65222,4
Significant_Damage_And_Serious_Injuries,43.83561644,12,69.55332726,0.409513884,79.61,3,27584.05649,6
Significant_Damage_And_Fatalities,20.2283105,15,55.69735643,0.311425171,79.31,4,36228.38126,7
Significant_Damage_And_Fatalities,32.42009132,12,51.5952598,0.288345474,81.8,3,18799.48957,16
Minor_Damage_And_Injuries,46.48401826,11,52.59799453,0.335226109,76.85,4,32058.5032,2
Significant_Damage_And_Fatalities,33.19634703,11,41.43117593,0.502914533,82.7,2,47505.46229,6
Minor_Damage_And_Injuries,45.29680365,15,60.34639927,0.531764154,79.83,4,30954.27117,3
Highly_Fatal_And_Damaging,5.205479452,20,71.37648131,0.189535521,78.52,6,32124.97323,7
Highly_Fatal_And_Damaging,20.95890411,15,80.62898815,0.321883159,78.24,1,25187.71192,9
Significant_Damage_And_Serious_Injuries,28.58447489,16,83.81950775,0.312146412,78.63,3,53176.45114,2
Highly_Fatal_And_Damaging,44.06392694,8,60.66545123,0.483080418,77.6,1,40353.55391,5
Significant_Damage_And_Fatalities,53.19634703,16,67.6390155,0.25588965,83.6,7,34326.0046,4
Minor_Damage_And_Injuries,47.12328767,14,65.08659982,0.321883159,77.34,2,36656.54735,6
Minor_Damage_And_Injuries,68.76712329,8,58.34092981,0.421053732,82.38,2,34354.11122,2
Significant_Damage_And_Serious_Injuries,59.17808219,11,52.41567912,0.47226181,83.23,7,34165.52878,4
Significant_Damage_And_Fatalities,28.40182648,13,52.55241568,0.467573747,78.49,4,28416.80885,31
Minor_Damage_And_Injuries,44.01826484,12,56.79124886,0.331980527,77.4,3,42607.0711,7
Highly_Fatal_And_Damaging,2.648401826,20,78.48678213,0.342438514,76.44,4,43590.44521,9
Significant_Damage_And_Serious_Injuries,59.45205479,10,44.71285324,0.693322034,77.08,7,28108.67352,22
Highly_Fatal_And_Damaging,30.91324201,12,73.33637192,0.456755139,84.99,4,23157.29823,3
Highly_Fatal_And_Damaging,17.71689498,16,57.74840474,0.285821132,80.25,4,24079.59067,3
Significant_Damage_And_Serious_Injuries,33.24200913,15,76.75478578,0.380303642,85.3,5,23921.68749,1
Minor_Damage_And_Injuries,30.50228311,19,73.65542388,0.405907681,78.75,6,35557.67809,3
Significant_Damage_And_Serious_Injuries,56.62100457,8,71.64995442,0.496423368,76.71,2,14865.90565,18
Highly_Fatal_And_Damaging,62.55707763,10,54.28441203,0.456394519,78.96,2,17506.10097,8
Significant_Damage_And_Serious_Injuries,52.28310502,6,82.08751139,0.395810314,75.64,3,38524.22718,28
Significant_Damage_And_Serious_Injuries,36.80365297,14,59.07019143,0.387876668,79.25,6,36560.92675,0
Significant_Damage_And_Serious_Injuries,24.24657534,18,69.14311759,0.325849982,75.05,1,22950.58102,5
Significant_Damage_And_Fatalities,22.42009132,15,45.80674567,0.631295348,78.46,4,24188.39484,3
Significant_Damage_And_Serious_Injuries,47.99086758,18,46.03463993,0.400858997,76.9,7,30457.89176,5
Significant_Damage_And_Fatalities,35.98173516,11,54.37556974,0.466852506,82.54,5,31461.12564,16
Highly_Fatal_And_Damaging,23.78995434,14,79.21604376,0.324768121,78.78,1,13658.8165,9
Minor_Damage_And_Injuries,49.40639269,14,72.01458523,0.395810314,78.21,5,27205.01875,7
Highly_Fatal_And_Damaging,51.87214612,6,72.56153145,0.373451857,78.27,1,27910.31755,2
Highly_Fatal_And_Damaging,29.7716895,12,66.68185962,0.344241616,80.14,1,23454.28405,8
Highly_Fatal_And_Damaging,25.43378995,14,59.5715588,0.509766318,78.6,1,25739.38468,10
Highly_Fatal_And_Damaging,29.543379,20,56.28988149,0.398334656,80.62,5,25229.782,3
Significant_Damage_And_Serious_Injuries,52.96803653,9,72.6071103,0.307097728,79.36,6,36551.16051,6
Significant_Damage_And_Serious_Injuries,25.25114155,17,79.53509572,0.320440678,79.24,6,35409.76276,11
Minor_Damage_And_Injuries,31.73515982,15,45.89790337,0.560253155,84.94,6,36060.04787,13
Significant_Damage_And_Serious_Injuries,26.11872146,17,63.17228806,0.477310494,80.46,3,36405.03304,4
Significant_Damage_And_Serious_Injuries,26.43835616,17,89.10665451,0.333062387,78.92,3,26274.69289,2
Highly_Fatal_And_Damaging,38.81278539,17,52.32452142,0.416365669,80.24,2,47423.38606,4
Highly_Fatal_And_Damaging,30.4109589,12,68.41385597,0.274641904,79.6,2,44285.44743,6
Minor_Damage_And_Injuries,30,16,42.57064722,0.497505229,80.82,7,33289.17764,4
Highly_Fatal_And_Damaging,30,13,66.68185962,0.298803462,79.06,7,39352.59973,13
Highly_Fatal_And_Damaging,49.6803653,7,78.94257065,0.268150739,80.5,4,33791.61942,6
Minor_Damage_And_Injuries,53.42465753,9,51.5952598,0.639950234,78.76,3,44244.62918,3
Minor_Damage_And_Injuries,60,10,66.54512306,0.368763794,75.27,2,46273.24001,2
Significant_Damage_And_Serious_Injuries,63.42465753,6,80.40109389,0.523469888,75.61,3,36294.38961,7
Significant_Damage_And_Fatalities,24.15525114,14,56.28988149,0.405907681,79.31,2,44499.23905,6
Minor_Damage_And_Injuries,45.20547945,15,77.52962625,0.343159755,78.51,2,17636.03041,6
Significant_Damage_And_Serious_Injuries,56.52968037,8,62.21513218,0.332701767,77.98,5,29267.95993,6
Highly_Fatal_And_Damaging,26.71232877,14,69.2342753,0.314310133,78.95,4,41835.88163,6
Significant_Damage_And_Serious_Injuries,37.39726027,14,69.14311759,0.428626758,79.62,3,34176.12272,2
Highly_Fatal_And_Damaging,77.67123288,3,51.82315406,0.380303642,83.5,2,15496.08616,11
Significant_Damage_And_Fatalities,62.05479452,14,73.01731996,0.290148576,78.7,3,32463.03292,12
Highly_Fatal_And_Damaging,45.34246575,8,59.29808569,0.510848179,81.42,4,28604.1784,3
